Participant_ID,V1_1) Friendly and warm,V1_2) Gregarious and sociable,V1_3) Assertive and Forceful,V1_4) Highly active and Energetic,V1_5) Seeks for Excitement,V1_6) Cheerful and Positive,V1_7) Trusting and forgiving,V1_8) Straightforward,V1_9) Altruistic,V1_10) Cooperative,V1_11) Modest,V1_12) Sympathetic,V1_13) High sense of Self-efficacy,V1_14) Orderly,V1_15) Dutiful,V1_16) Achievement-striving,V1_17) Self-disciplined,V1_18) Deliberating and Continuous,V1_19) Anxious,V1_20) Angry and hostile,V1_21) High level of Depression,V1_22) Self-conscious,V1_23) Immoderate behavior,V1_24) Vulnerable,V1_25) Imaginative,V1_26) Artistic interests,V1_27) Emotional,V1_28) Adventurous,V1_29) Intellectual,V1_30) Liberal,V2_1) Friendly and warm,V2_2) Gregarious and sociable,V2_3) Assertive and Forceful,V2_4) Highly active and Energetic,V2_5) Seeks for Excitement,V2_6) Cheerful and Positive,V2_7) Trusting and forgiving,V2_8) Straightforward,V2_9) Altruistic,V2_10) Cooperative,V2_11) Modest,V2_12) Sympathetic,V2_13) High sense of Self-efficacy,V2_14) Orderly,V2_15) Dutiful,V2_16) Achievement-striving,V2_17) Self-disciplined,V2_18) Deliberating and Continuous,V2_19) Anxious,V2_20) Angry and hostile,V2_21) High level of Depression,V2_22) Self-conscious,V2_23) Immoderate behavior,V2_24) Vulnerable,V2_25) Imaginative,V2_26) Artistic interests,V2_27) Emotional,V2_28) Adventurous,V2_29) Intellectual,V2_30) Liberal,V3_1) Friendly and warm,V3_2) Gregarious and sociable,V3_3) Assertive and Forceful,V3_4) Highly active and Energetic,V3_5) Seeks for Excitement,V3_6) Cheerful and Positive,V3_7) Trusting and forgiving,V3_8) Straightforward,V3_9) Altruistic,V3_10) Cooperative,V3_11) Modest,V3_12) Sympathetic,V3_13) High sense of Self-efficacy,V3_14) Orderly,V3_15) Dutiful,V3_16) Achievement-striving,V3_17) Self-disciplined,V3_18) Deliberating and Continuous,V3_19) Anxious,V3_20) Angry and hostile,V3_21) High level of Depression,V3_22) Self-conscious,V3_23) Immoderate behavior,V3_24) Vulnerable,V3_25) Imaginative,V3_26) Artistic interests,V3_27) Emotional,V3_28) Adventurous,V3_29) Intellectual,V3_30) Liberal,V4_1) Friendly and warm,V4_2) Gregarious and sociable,V4_3) Assertive and Forceful,V4_4) Highly active and Energetic,V4_5) Seeks for Excitement,V4_6) Cheerful and Positive,V4_7) Trusting and forgiving,V4_8) Straightforward,V4_9) Altruistic,V4_10) Cooperative,V4_11) Modest,V4_12) Sympathetic,V4_13) High sense of Self-efficacy,V4_14) Orderly,V4_15) Dutiful,V4_16) Achievement-striving,V4_17) Self-disciplined,V4_18) Deliberating and Continuous,V4_19) Anxious,V4_20) Angry and hostile,V4_21) High level of Depression,V4_22) Self-conscious,V4_23) Immoderate behavior,V4_24) Vulnerable,V4_25) Imaginative,V4_26) Artistic interests,V4_27) Emotional,V4_28) Adventurous,V4_29) Intellectual,V4_30) Liberal,V5_1) Friendly and warm,V5_2) Gregarious and sociable,V5_3) Assertive and Forceful,V5_4) Highly active and Energetic,V5_5) Seeks for Excitement,V5_6) Cheerful and Positive,V5_7) Trusting and forgiving,V5_8) Straightforward,V5_9) Altruistic,V5_10) Cooperative,V5_11) Modest,V5_12) Sympathetic,V5_13) High sense of Self-efficacy,V5_14) Orderly,V5_15) Dutiful,V5_16) Achievement-striving,V5_17) Self-disciplined,V5_18) Deliberating and Continuous,V5_19) Anxious,V5_20) Angry and hostile,V5_21) High level of Depression,V5_22) Self-conscious,V5_23) Immoderate behavior,V5_24) Vulnerable,V5_25) Imaginative,V5_26) Artistic interests,V5_27) Emotional,V5_28) Adventurous,V5_29) Intellectual,V5_30) Liberal
P-1,4,4,3,4,4,2,4,4,2,4,4,4,4,3,3,3,3,3,2,2,2,3,3,3,4,4,4,3,3,4,4,4,3,3,3,2,4,4,4,4,4,4,4,4,4,4,4,3,3,3,2,3,2,3,4,4,4,3,4,4,4,3,3,4,3,4,3,3,3,3,3,4,4,4,4,4,4,4,4,3,2,4,3,3,4,4,4,4,4,3,2,2,4,3,2,2,3,4,3,3,3,3,3,3,2,4,3,3,3,4,3,4,3,4,3,3,4,3,3,3,3,3,4,2,2,3,2,4,2,4,3,3,4,3,3,4,2,2,4,3,3,4,3,4,3,3,3,3,4,3
P-2,4,4,3,2,4,2,2,4,4,4,5,2,3,3,2,3,3,2,1,2,1,3,2,1,5,5,4,4,3,2,3,4,1,4,3,4,4,4,4,4,4,4,3,4,3,3,4,4,3,2,2,3,2,2,1,2,4,3,2,4,3,4,1,3,2,4,3,3,3,2,1,2,3,2,3,3,2,4,4,5,4,5,4,3,3,4,4,2,2,2,2,2,4,3,4,2,3,3,2,3,2,3,4,4,3,4,4,4,4,4,4,3,3,4,3,4,3,4,3,3,1,2,2,4,2,2,2,2,1,2,2,2,4,2,2,2,2,2,4,5,2,2,3,2,4,1,2,4,5,3
P-3,2,2,2,2,2,2,2,2,2,2,4,2,3,4,2,2,2,2,4,3,4,3,4,4,5,4,4,2,2,2,3,2,4,4,4,2,4,3,3,4,4,4,3,3,3,4,2,4,2,1,2,3,2,2,3,4,2,4,3,3,4,4,2,4,4,4,3,4,2,4,2,4,2,2,2,2,2,4,4,4,4,5,4,2,2,4,2,4,2,2,4,4,4,5,5,4,4,4,4,5,2,4,3,2,2,4,2,2,4,2,2,3,4,2,5,5,5,5,3,4,1,1,2,2,4,2,2,5,1,2,2,2,2,2,3,5,4,4,4,5,3,4,4,2,3,2,2,4,3,4
P-4,4,4,4,4,4,4,4,4,4,2,3,3,3,2,2,3,2,2,2,1,1,4,3,3,4,4,4,4,2,3,4,4,3,2,3,4,4,3,3,4,3,3,3,3,3,3,3,3,3,2,3,4,2,4,3,4,4,3,2,2,3,3,2,1,2,2,2,2,3,3,2,4,2,3,3,3,3,3,3,3,3,4,3,4,4,4,4,3,3,2,2,2,4,3,3,3,3,4,3,2,3,3,3,2,2,2,3,3,2,3,3,3,4,3,3,3,4,3,3,3,2,3,4,4,4,2,3,4,2,1,3,3,3,3,3,3,3,3,5,5,3,3,3,4,3,3,3,3,3,3
P-5,3,3,4,4,3,3,2,2,2,2,2,2,2,3,3,3,3,3,2,2,2,3,2,2,5,5,5,5,5,5,1,3,2,2,2,2,4,4,3,4,4,4,5,5,4,4,4,4,3,2,3,3,2,2,3,3,3,3,2,2,2,1,3,1,1,3,5,5,5,5,5,5,3,3,3,3,3,3,1,1,2,2,1,2,2,3,2,3,2,3,5,5,4,5,4,5,2,2,2,2,2,2,1,2,3,3,2,3,1,2,2,2,3,1,1,2,2,2,1,1,1,2,1,2,1,2,1,3,2,1,2,2,2,1,1,2,1,1,5,5,5,4,4,5,2,2,3,2,3,3
P-6,4,4,4,3,4,4,2,2,2,2,2,2,2,2,3,3,3,3,2,2,2,2,2,3,5,4,5,5,5,5,2,2,3,2,2,2,3,3,3,4,4,4,4,5,4,4,4,5,3,3,3,2,3,3,3,3,3,3,2,2,2,2,2,3,3,3,5,5,4,5,5,4,3,2,3,2,3,3,1,1,1,1,2,1,2,3,3,2,3,3,5,4,5,5,4,5,1,2,2,2,2,1,3,3,3,2,3,3,2,3,1,1,3,1,1,2,2,1,3,2,1,2,2,1,2,2,1,3,1,2,1,1,2,1,2,3,2,2,5,5,4,4,4,5,2,2,2,3,3,2
P-7,2,3,2,3,2,4,4,3,3,4,4,4,3,3,3,3,3,3,2,2,2,2,3,2,5,4,3,4,4,2,3,4,2,2,2,3,4,3,4,4,4,3,4,3,3,4,3,3,1,1,1,2,3,2,3,4,3,3,3,1,5,2,3,2,2,2,4,2,4,3,3,4,3,2,2,4,2,3,1,1,1,2,3,3,4,4,2,4,4,4,1,2,3,3,2,2,3,4,3,2,4,3,4,4,4,5,4,4,3,3,2,3,3,2,3,4,4,2,4,4,3,2,5,4,4,2,3,4,2,3,2,2,4,4,4,2,4,4,3,3,3,2,3,2,3,2,2,3,4,2
P-8,3,3,3,4,4,3,2,2,2,2,2,2,2,3,3,3,2,3,2,3,2,2,2,2,5,5,5,4,5,5,2,3,2,3,2,3,3,4,4,4,4,4,4,5,4,4,4,5,3,3,2,2,2,2,3,3,2,3,2,2,2,2,2,1,3,2,5,4,5,5,4,4,3,2,3,2,2,2,2,3,3,2,2,2,3,3,2,2,2,3,5,4,5,5,5,4,3,2,3,3,2,3,2,3,3,3,2,3,1,3,2,2,3,2,2,2,2,1,3,3,1,1,1,2,2,1,1,2,1,2,2,1,2,2,1,2,2,1,5,5,5,4,5,5,1,1,2,3,3,2
P-9,4,4,4,3,4,4,4,2,2,5,4,4,4,4,2,2,4,4,2,2,1,4,2,1,4,5,4,4,4,4,4,5,5,5,3,4,4,4,4,4,4,4,5,5,5,4,5,5,2,2,2,5,1,1,2,4,5,4,2,5,2,3,4,2,2,2,4,5,4,5,5,4,5,5,5,4,5,4,1,1,1,2,1,1,2,2,4,4,4,4,4,4,5,5,4,4,5,4,5,5,4,4,5,4,4,5,5,4,1,1,1,2,2,2,5,4,4,4,4,4,2,4,2,5,4,4,4,2,2,4,4,4,2,2,2,4,4,5,1,2,2,5,2,1,4,4,4,2,4,5
P-10,2,2,4,2,2,2,4,4,3,3,2,3,3,2,2,3,2,3,2,1,2,3,4,2,3,3,4,4,3,3,2,3,2,2,2,3,4,2,3,3,4,3,2,3,3,3,3,3,2,1,3,4,2,4,3,3,2,3,4,2,5,3,1,2,3,2,5,5,5,5,5,4,3,2,2,2,4,2,1,1,2,1,1,3,4,2,3,2,3,2,3,3,3,3,3,3,2,4,2,2,4,3,4,4,4,4,4,4,4,2,3,4,1,4,3,3,2,2,4,3,1,2,3,1,2,1,1,1,1,1,3,2,2,3,2,3,2,2,5,5,5,5,5,5,3,2,4,2,2,3
P-11,4,4,3,2,2,4,4,3,4,3,2,4,4,3,3,4,4,2,2,2,4,4,4,2,2,3,4,1,3,4,4,4,2,4,3,4,4,3,3,4,2,3,4,3,3,2,4,4,2,2,2,2,2,2,2,2,3,3,4,4,4,4,3,3,2,4,4,3,3,4,2,3,3,2,2,3,4,3,3,2,2,4,4,4,2,3,3,1,4,2,5,5,4,5,5,5,3,2,2,2,2,3,2,1,2,4,2,3,4,2,3,4,4,2,4,3,4,4,2,3,1,1,2,1,2,1,1,3,1,1,1,1,2,2,1,1,2,1,5,5,4,4,5,4,2,1,4,1,3,3
